,AAL_earning,AAPL_earning,ALGT_earning,ALK_earning,AMZN_earning,BCS_earning,BHC_earning,CS_earning,DAL_earning,DB_earning,FB_earning,GOOG_earning,GS_earning,HA_earning,IBM_earning,JNJ_earning,LUV_earning,MRK_earning,MS_earning,MSFT_earning,PFE_earning,RHHBY_earning,UNH_earning,WFC_earning,S&P500_earning,Date
0,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-01
1,-0.029998999999996556,-0.7699999999999996,-1.2299959999999999,-0.8600009999999969,-6.329987000000017,-0.6099999999999994,-0.1600039999999865,-0.75,-0.8199990000000028,-1.649999000000001,-1.2599949999999893,-10.910094999999956,-6.070007999999973,-0.17999999999999972,-2.550003000000004,-0.7299959999999999,-1.0499999999999972,0.8500019999999964,-1.0800020000000004,-0.4299960000000027,-0.16999999999999815,0.17000200000000376,-1.6599960000000067,-1.5,-37.61999500000002,2015-05-01
2,-0.8400000000000034,0.0025009999999987542,-0.7900089999999977,-0.7000010000000003,-6.899992999999995,-0.3100000000000005,-1.4599910000000023,-0.4300009999999972,-1.1399999999999935,-0.4599989999999998,-1.0400000000000063,-11.87738100000007,-3.80999700000001,-0.8500000000000014,-3.4399879999999996,-0.5100020000000001,-1.1799999999999997,2.2799990000000037,0.5200010000000006,-0.6799999999999997,0.26000000000000156,0.20999899999999627,-0.20000499999999022,-1.110000999999997,-17.969970999999987,2015-06-01
3,-0.030002999999993563,0.37249900000000125,2.1399999999999864,0.8999979999999965,3.1300039999999854,0.03999999999999915,2.2899929999999813,-0.01999800000000107,-0.25,0.2999989999999997,0.0,-0.8576349999999593,2.75,0.11000000000000298,-1.0200040000000001,2.2799989999999895,0.3399999999999963,1.2900009999999966,0.5500029999999967,0.5799979999999962,0.4299999999999997,0.15000100000000316,1.010002,0.3100019999999972,23.29003899999998,2015-07-01
4,0.6500019999999935,1.0350000000000001,5.30999700000001,1.0300030000000007,2.039978000000019,0.2400000000000002,8.980011000000019,-0.17999999999999972,1.2199979999999968,0.059999000000001246,2.029998000000006,1.5756829999999695,2.9900049999999965,1.1800009999999972,3.3699949999999887,0.83000100000001,1.0800020000000004,1.2399970000000025,-0.6100009999999969,1.3600000000000065,0.6499999999999986,0.3799980000000005,4.769996999999989,1.1599989999999991,36.239869,2015-08-01
5,-1.6399999999999935,0.030000999999998612,-0.1799919999999986,-0.9700010000000034,-3.5299979999999778,-0.2400000000000002,-0.5200040000000001,-0.40000200000000063,-1.3099980000000002,-0.47999900000000295,-0.4400020000000069,-6.492187000000001,-2.9199979999999925,-0.4000019999999971,0.6900030000000186,-1.4499969999999962,-1.0900000000000034,-0.2899969999999996,-0.5100020000000001,-0.40000100000000316,0.15000200000000063,1.0200000000000031,-0.9799959999999999,-0.880001,-17.32983400000012,2015-09-01
6,-2.4399980000000028,-0.6900009999999988,-0.75,0.880001,-5.51998900000001,-0.009999999999999787,1.9199979999999925,-0.12999900000000153,-0.8200000000000003,-0.00999999999999801,-1.0199970000000036,-3.6100769999999898,-2.2799990000000037,-0.9100000000000001,-2.6699990000000184,-0.36000000000001364,-0.5400009999999966,-0.26000200000000007,-0.3400000000000034,-0.5900010000000009,0.11999800000000249,0.2999989999999997,-1.1699979999999925,-0.630001,-16.550048999999944,2015-12-01
7,0.8200000000000003,0.24249999999999972,3.9400019999999927,0.7999989999999997,3.3299859999999626,-0.009999999999999787,2.5399930000000097,0.040001000000000175,0.5499999999999972,0.4700009999999999,-0.27000400000000013,3.6200560000000337,-0.14001400000000785,0.15000199999999708,0.36999600000001465,0.18000000000000682,0.22999999999999687,-0.10999999999999943,-0.8199999999999932,-0.23999700000000246,-0.3300010000000029,-0.18999800000000278,0.5199969999999894,-0.20000100000000032,-5.2299809999999525,2015-01-13
8,-0.990002000000004,-0.1049989999999994,-2.229996,0.13000100000000003,-1.470000999999968,-0.20999999999999908,-1.239990000000006,-0.3100019999999972,-1.2999999999999972,0.01999800000000107,-0.16999799999999254,4.677154999999971,-4.699996999999996,-0.5799999999999983,-1.0099950000000035,-0.7600020000000001,-1.0400009999999966,0.45000000000000284,-0.629997000000003,-0.40000199999999353,0.04000099999999662,-0.34999899999999684,0.26000200000000007,-0.5999979999999994,-11.760009000000082,2015-01-14
9,0.0,-0.745001000000002,4.6699979999999925,-0.06999999999999318,-6.319976999999994,-0.009999999999999787,-2.510009999999994,0.41000000000000014,-0.26000200000000007,-0.19999900000000181,-2.229996,0.9174800000000118,-1.7399910000000034,0.41999799999999965,-1.2299959999999999,-1.510002,-0.5399969999999996,-0.7599980000000031,0.30999700000000274,-0.4799990000000065,-0.07999799999999624,-1.260002,1.129997000000003,-0.5299989999999966,-18.59997599999997,2015-01-15
10,0.40000100000000316,-0.20750099999999705,2.479996,0.8799969999999959,3.7899779999999623,-0.16999999999999993,2.6399999999999864,-1.1700000000000017,0.7900010000000037,0.15000000000000213,1.129997000000003,6.27276599999999,-1.2600089999999966,-0.1099989999999984,2.569991999999985,1.5500030000000038,0.5799979999999962,1.1499979999999965,-0.1399990000000031,0.7600020000000001,0.39999699999999905,0.630001,1.3099980000000073,0.9199979999999996,26.75,2015-01-16
